time,vertical_velocity,horizontal_velocity,dist,alt,ang,weight,acc,fuel,NN
192,0.57,1641.44,-135291.64,12241.08,0,275.97,0.05,111.97,0.02
193,0.57,1641.44,-136933.08,12240.52,0,275.97,0.05,111.97,0.02
194,0.57,1641.44,-138574.52,12239.95,0,275.96,0.05,111.96,0.02
195,0.57,1641.44,-140215.96,12239.38,0,275.96,0.05,111.96,0.02
196,0.57,1641.44,-141857.4,12238.82,0,275.95,0.05,111.95,0.02
197,0.57,1641.44,-143498.84,12238.25,0,275.95,0.05,111.95,0.02
198,0.57,1641.44,-145140.28,12237.69,0,275.94,0.05,111.94,0.02
199,0.57,1641.44,-146781.72,12237.12,0,275.94,0.05,111.94,0.02
200,0.57,1641.44,-148423.16,12236.55,0,275.93,0.05,111.93,0.02
201,0.57,1641.44,-150064.6,12235.99,0,275.93,0.05,111.93,0.02
202,0.57,1641.44,-151706.04,12235.42,0,275.92,0.05,111.92,0.02
203,0.57,1641.44,-153347.48,12234.86,0,275.92,0.05,111.92,0.02
204,0.57,1641.44,-154988.92,12234.29,0,275.91,0.05,111.91,0.02
205,0.57,1641.44,-156630.36,12233.73,0,275.91,0.05,111.91,0.02
206,0.57,1641.44,-158271.8,12233.16,0,275.9,0.05,111.9,0.02
207,0.57,1641.44,-159913.25,12232.59,0,275.9,0.05,111.9,0.02
208,0.57,1641.44,-161554.69,12232.03,0,275.89,0.05,111.89,0.02
209,0.57,1641.44,-163196.13,12231.46,0,275.89,0.05,111.89,0.02
210,0.57,1641.44,-164837.57,12230.9,0,275.88,0.05,111.88,0.02
211,0.57,1641.44,-166479.01,12230.33,0,275.88,0.05,111.88,0.02
212,0.57,1641.44,-168120.45,12229.76,0,275.87,0.05,111.87,0.02
213,0.57,1641.44,-169761.89,12229.2,0,275.87,0.05,111.87,0.02
214,0.57,1641.44,-171403.33,12228.63,0,275.86,0.05,111.86,0.02
215,0.57,1641.44,-173044.77,12228.07,0,275.86,0.05,111.86,0.02
216,0.57,1641.44,-174686.21,12227.5,0,275.85,0.05,111.85,0.02
217,0.57,1641.44,-176327.65,12226.94,0,275.85,0.05,111.85,0.02
218,0.57,1641.44,-177969.09,12226.37,0,275.84,0.05,111.84,0.02
219,0.57,1641.44,-179610.53,12225.8,0,275.84,0.05,111.84,0.02
220,0.57,1641.44,-181251.97,12225.24,0,275.83,0.05,111.83,0.02
221,0.57,1641.44,-182893.41,12224.67,0,275.83,0.05,111.83,0.02
